2021-06-16 22:36:58,130 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:00,755 | INFO | cocotb | Step 1
2021-06-16 22:37:00,787 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:00,789 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:01,214 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:01,222 | INFO | cocotb | Step 2
2021-06-16 22:37:01,223 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:01,226 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:02,359 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:02,375 | INFO | cocotb | Step 3
2021-06-16 22:37:02,377 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:02,379 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:02,620 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:02,623 | INFO | cocotb | Step 4
2021-06-16 22:37:02,625 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:02,625 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:04,754 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:04,782 | INFO | cocotb | Step 5
2021-06-16 22:37:04,787 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:04,790 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:06,621 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:06,644 | INFO | cocotb | Step 6
2021-06-16 22:37:06,646 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:06,646 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:07,498 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:07,510 | INFO | cocotb | Step 7
2021-06-16 22:37:07,513 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:07,513 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:09,040 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:09,064 | INFO | cocotb | Step 8
2021-06-16 22:37:09,066 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:09,072 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:09,291 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:09,294 | INFO | cocotb | Step 9
2021-06-16 22:37:09,296 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:09,296 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:11,293 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:11,316 | INFO | cocotb | Step 10
2021-06-16 22:37:11,320 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:11,320 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:13,025 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:13,050 | INFO | cocotb | Step 11
2021-06-16 22:37:13,053 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:13,054 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:14,164 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:14,180 | INFO | cocotb | Step 12
2021-06-16 22:37:14,182 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:14,183 | INFO | cocotb | Waiting for actions from rl step 
