2021-06-16 19:33:32,730 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:33:38,777 | INFO | cocotb | Step 1
2021-06-16 19:33:38,789 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:33:38,790 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:33:40,384 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:33:40,407 | INFO | cocotb | Step 2
2021-06-16 19:33:40,410 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:33:40,411 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:33:41,803 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:33:41,821 | INFO | cocotb | Step 3
2021-06-16 19:33:41,828 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:33:41,833 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:33:43,021 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:33:43,038 | INFO | cocotb | Step 4
2021-06-16 19:33:43,043 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:33:43,044 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:33:43,661 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:33:43,672 | INFO | cocotb | Step 5
2021-06-16 19:33:43,675 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:33:43,677 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:33:44,694 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:33:44,709 | INFO | cocotb | Step 6
2021-06-16 19:33:44,713 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:33:44,714 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:33:45,913 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:33:45,931 | INFO | cocotb | Step 7
2021-06-16 19:33:45,940 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:33:45,944 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:33:47,193 | INFO | cocotb | Waiting for rl step or rl reset 
