Coverage histogram
00000000 56425
00000001 1928698
00000100 1145
00000101 2049
00100000 50799
00100010 5212
01000001 3135
01000100 30
01000101 3
01001001 23866
01001100 300
01001101 312
01100000 1000
01101000 16495
01101010 610
10110010 12362
10110110 67
11100000 12000
11100010 2
11111010 1260
Set coverage histogram
00000000 533
00000001 988
00000100 533
00000101 780
00100000 988
00100010 939
01000001 989
01000100 10
01000101 1
01001001 996
01001100 196
01001101 194
01100000 1000
01101000 988
01101010 389
10110010 952
10110110 65
11100000 1000
11100010 1
11111010 454
