2021-08-02 22:42:50,177 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:42:50,284 | INFO | cocotb | Step 1
2021-08-02 22:42:50,296 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:42:50,297 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:42:50,664 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:42:50,674 | INFO | cocotb | Step 2
2021-08-02 22:42:50,677 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:42:50,678 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:42:52,977 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:42:53,010 | INFO | cocotb | Step 3
2021-08-02 22:42:53,013 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:42:53,013 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:42:55,292 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:42:55,321 | INFO | cocotb | Step 4
2021-08-02 22:42:55,324 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:42:55,325 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:42:56,975 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:42:57,002 | INFO | cocotb | Step 5
2021-08-02 22:42:57,005 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:42:57,006 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:42:57,390 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:42:57,396 | INFO | cocotb | Step 6
2021-08-02 22:42:57,397 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:42:57,398 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:42:58,234 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:42:58,254 | INFO | cocotb | Step 7
2021-08-02 22:42:58,258 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:42:58,258 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:42:58,278 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:42:58,279 | INFO | cocotb | Step 8
2021-08-02 22:42:58,280 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:42:58,281 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:42:59,025 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:42:59,036 | INFO | cocotb | Step 9
2021-08-02 22:42:59,038 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:42:59,039 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:43:00,866 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:43:00,891 | INFO | cocotb | Step 10
2021-08-02 22:43:00,893 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:43:00,893 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:43:02,930 | INFO | cocotb | Waiting for rl step or rl reset 
