2021-08-02 21:19:52,993 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:19:53,009 | INFO | cocotb | Step 1
2021-08-02 21:19:53,021 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:19:53,024 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:19:57,497 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:19:57,553 | INFO | cocotb | Step 2
2021-08-02 21:19:57,556 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:19:57,557 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:20:00,563 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:20:00,603 | INFO | cocotb | Step 3
2021-08-02 21:20:00,607 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:20:00,609 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:20:01,949 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:20:01,985 | INFO | cocotb | Step 4
2021-08-02 21:20:01,996 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:20:01,999 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:20:02,967 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:20:02,976 | INFO | cocotb | Step 5
2021-08-02 21:20:02,979 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:20:02,981 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:20:04,536 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:20:04,556 | INFO | cocotb | Step 6
2021-08-02 21:20:04,572 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:20:04,573 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:20:06,144 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:20:06,165 | INFO | cocotb | Step 7
2021-08-02 21:20:06,177 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:20:06,179 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:20:09,508 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:20:09,537 | INFO | cocotb | Step 8
2021-08-02 21:20:09,545 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:20:09,549 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:20:11,831 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:20:11,879 | INFO | cocotb | Step 9
2021-08-02 21:20:11,885 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:20:11,886 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:20:15,321 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:20:15,360 | INFO | cocotb | Step 10
2021-08-02 21:20:15,366 | INFO | cocotb | Waiting for rl step after rl reset 
